words
hey
jude
don't
make
it
bad
take
a
sad
song
and
make
it
better
remember
to
let
her
into
your
heart
then
you
can
start
to
make
it
better
hey
jude
don't
be
afraid
you
were
made
to
go
out
and
get
her
the
minute
you
let
her
under
your
skin
then
you
begin
to
make
it
better
and
anytime
you
feel
the
pain
hey
jude
refrain
don't
carry
the
world
upon
your
shoulders
for
well
you
know
that
it's
a
fool
who
plays
it
cool
by
making
his
world
a
little
colder
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
don't
let
me
down
you
have
found
her
now
go
and
get
her
remember
to
let
her
into
your
heart
then
you
can
start
to
make
it
better
so
let
it
out
and
let
it
in
hey
jude
begin
you're
waiting
for
someone
to
perform
with
and
don't
you
know
that
it's
just
you
hey
jude
you'll
do
the
movement
you
need
is
on
your
shoulder
nah
nah
nah
nah
nah
nah
nah
nah
nah
yeah
hey
jude
don't
make
it
bad
take
a
sad
song
and
make
it
better
remember
to
let
her
under
your
skin
then
you'll
begin
to
make
it
better
better
better
better
better
oh
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
yeah
yeah
yeah
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
don't
make
it
bad
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
take
a
sad
song
and
make
it
better
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
oh
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
jude
hey
jude
whoa
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
ooh
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
nah
nah
nah
nah
nah
nah
nah
nah
nah
hey
jude
fade
out
